ZONE T="first 0", I=  42, F=POINT
 -1.57671  -1.20169
 -1.50725  -1.12975
 -1.44033  -1.05544
 -1.39754  -1.00432
 -1.35658  -0.95172
 -1.31790  -0.89743
 -1.29365  -0.86018
 -1.27086  -0.82202
 -1.24974  -0.78291
 -1.23671  -0.75630
 -1.22459  -0.72927
 -1.21343  -0.70182
 -1.20328  -0.67398
 -1.19418  -0.64579
 -1.18611  -0.61727
 -1.17908  -0.58849
 -1.17304  -0.55948
 -1.16792  -0.53030
 -1.16365  -0.50098
 -1.15861  -0.45682
 -1.15489  -0.41253
 -1.14958  -0.31267
 -1.14514  -0.21277
 -1.13872  -0.11298
 -1.12832  -0.01352
 -1.11849   0.05242
 -1.10600   0.11790
 -1.09064   0.18278
 -1.07224   0.24685
 -1.05825   0.28904
 -1.04283   0.33072
 -1.02598   0.37185
 -1.00770   0.41236
 -0.98797   0.45219
 -0.96682   0.49127
 -0.94424   0.52955
 -0.92025   0.56697
 -0.89488   0.60346
 -0.86814   0.63896
 -0.84007   0.67342
 -0.81070   0.70678
 -0.78007   0.73898
 -0.74821   0.76997
 -0.71517   0.79970
 -0.68100   0.82811
 -0.64573   0.85516
 -0.60944   0.88081
 -0.57216   0.90502
 -0.53396   0.92773
 -0.49489   0.94892
 -0.45502   0.96855
 -0.41440   0.98659
 -0.37310   1.00301
 -0.33118   1.01779
 -0.28872   1.03090
 -0.24577   1.04233
 -0.20240   1.05205
 -0.15868   1.06007
 -0.11469   1.06636
 -0.07048   1.07093
 -0.02612   1.07378
  0.01831   1.07490
  0.06275   1.07430
  0.10713   1.07200
  0.15139   1.06800
  0.19548   1.06232
  0.23931   1.05499
  0.28284   1.04602
  0.32601   1.03546
  0.36877   1.02332
  0.41106   1.00965
  0.45283   0.99449
  0.49406   0.97788
  0.53469   0.95987
  0.57470   0.94051
  0.61406   0.91987
  0.65276   0.89801
  0.69078   0.87499
  0.72812   0.85090
  0.76480   0.82580
  0.81865   0.78649
  0.87121   0.74548
  0.94818   0.68165
  1.02409   0.61655
  1.10087   0.55248
  1.15377   0.51190
  1.19019   0.48644
  1.22770   0.46260
  1.25335   0.44776
  1.27951   0.43384
  1.30615   0.42089
  1.33327   0.40893
  1.36080   0.39798
  1.38870   0.38803
  1.41694   0.37904
  1.44545   0.37097
  1.47419   0.36378
  1.50313   0.35741
  1.53222   0.35181
  1.57610   0.34473
  1.62018   0.33906
  1.66441   0.33466
  1.73092   0.33011
  1.79754   0.32765
  1.89754   0.32722
  1.99750   0.32994
  2.09736   0.33521
  2.19709   0.34260
  2.29667   0.35177
  2.39609   0.36249
  2.49536   0.37456
  2.59448   0.38782
  2.69345   0.40215
  2.79227   0.41744
  2.89095   0.43362
  2.98950   0.45060
  3.08792   0.46832
  3.18621   0.48673
  3.28438   0.50577
  3.38243   0.52542
  3.48037   0.54562
  3.57820   0.56635
  3.67592   0.58758
  3.77354   0.60927
  3.87106   0.63141
  3.96848   0.65396
  4.06581   0.67692
  4.16305   0.70025
  4.26020   0.72395
  4.35727   0.74799
  4.45425   0.77236
  4.55116   0.79705
  4.64798   0.82204
  4.74473   0.84732
  4.84141   0.87288
  4.93802   0.89871
ZONE T="2     3", I= 154, F=POINT
 -4.14135  -2.93591
 -4.05645  -2.88307
 -3.97170  -2.82999
 -3.88711  -2.77666
 -3.80268  -2.72307
 -3.71843  -2.66921
 -3.63436  -2.61506
 -3.55047  -2.56063
 -3.46679  -2.50588
 -3.38332  -2.45081
 -3.30007  -2.39541
 -3.21705  -2.33965
 -3.13429  -2.28352
 -3.05180  -2.22700
 -2.96959  -2.17006
 -2.88768  -2.11269
 -2.80610  -2.05486
 -2.72487  -1.99653
 -2.64403  -1.93768
 -2.56359  -1.87827
 -2.48359  -1.81826
 -2.40409  -1.75760
 -2.32513  -1.69625
 -2.24677  -1.63412
 -2.16907  -1.57117
 -2.09213  -1.50730
 -2.01604  -1.44241
 -1.94093  -1.37638
 -1.86698  -1.30907
 -1.79438  -1.24030
 -1.72341  -1.16985
 -1.65444  -1.09744
 -1.58796  -1.02274
 -1.52462  -0.94536
 -1.48460  -0.89203
 -1.44672  -0.83718
 -1.41134  -0.78068
 -1.38935  -0.74205
 -1.36877  -0.70266
 -1.34971  -0.66251
 -1.33223  -0.62164
 -1.31639  -0.58012
 -1.30216  -0.53802
 -1.28947  -0.49542
 -1.27821  -0.45243
 -1.26820  -0.40913
 -1.25510  -0.34376
 -1.23824  -0.24519
 -1.22231  -0.14647
 -1.20509  -0.04796
 -1.18486   0.04997
 -1.16034   0.14692
 -1.14117   0.21077
 -1.11948   0.27381
 -1.09513   0.33587
 -1.06803   0.39678
 -1.03810   0.45635
 -1.00531   0.51440
 -0.98187   0.55216
 -0.95716   0.58910
 -0.93120   0.62517
 -0.90399   0.66032
 -0.87557   0.69449
