ZONE T="first 0", I=  42, F=POINT
 -1.09364  -0.25754
 -1.07343  -0.24241
 -1.05376  -0.22675
 -1.03472  -0.21050
 -1.01641  -0.19359
 -0.99896  -0.17594
 -0.98252  -0.15746
 -0.96733  -0.13803
 -0.95369  -0.11752
 -0.94207  -0.09577
 -0.93584  -0.08050
 -0.93259  -0.06994
 -0.93095  -0.06275
 -0.92982  -0.05544
 -0.92942  -0.05052
 -0.92936  -0.04559
 -0.92954  -0.04230
 -0.92993  -0.03904
 -0.93031  -0.03688
 -0.93080  -0.03475
 -0.93141  -0.03266
 -0.93213  -0.03061
 -0.93269  -0.02928
 -0.93330  -0.02797
 -0.93397  -0.02670
 -0.93469  -0.02546
 -0.93546  -0.02427
 -0.93629  -0.02311
 -0.93717  -0.02201
 -0.93809  -0.02095
 -0.93906  -0.01993
 -0.94006  -0.01897
 -0.94109  -0.01805
 -0.94215  -0.01719
 -0.94324  -0.01637
 -0.94435  -0.01559
 -0.94604  -0.01451
 -0.94775  -0.01352
 -0.94948  -0.01261
 -0.95209  -0.01139
 -0.95468  -0.01032
 -0.95853  -0.00894
 -0.96678  -0.00660
 -0.98244  -0.00350
 -0.98361   0.00432
 -0.98421   0.00829
 -0.98460   0.01126
 -0.98476   0.01322
 -0.98467   0.01417
 -0.98430   0.01411
 -0.98365   0.01304
 -0.98271   0.01096
 -0.98147   0.00787
 -0.97993   0.00378
 -0.97810  -0.00129
 -0.97596  -0.00735
 -0.97353  -0.01438
 -0.97080  -0.02236
 -0.96777  -0.03129
 -0.96446  -0.04113
 -0.96086  -0.05188
 -0.95699  -0.06351
 -0.95284  -0.07599
 -0.94843  -0.08931
 -0.94376  -0.10344
 -0.93885  -0.11834
 -0.93370  -0.13400
 -0.92832  -0.15037
 -0.92272  -0.16742
 -0.91691  -0.18513
 -0.91090  -0.20346
 -0.89101  -0.20341
 -0.87055  -0.20337
 -0.84956  -0.20333
 -0.82809  -0.20329
 -0.80617  -0.20326
 -0.78386  -0.20323
 -0.76119  -0.20320
 -0.73821  -0.20317
 -0.71496  -0.20314
 -0.69150  -0.20312
 -0.66787  -0.20310
 -0.64412  -0.20307
 -0.62030  -0.20306
 -0.59645  -0.20304
 -0.57262  -0.20302
 -0.54887  -0.20301
 -0.52523  -0.20300
 -0.50176  -0.20299
 -0.47851  -0.20298
 -0.45553  -0.20298
 -0.43285  -0.20298
 -0.41054  -0.20298
 -0.38864  -0.20298
 -0.36719  -0.20298
 -0.34624  -0.20299
 -0.32585  -0.20301
 -0.30604  -0.20302
 -0.28689  -0.20304
 -0.26842  -0.20307
 -0.25069  -0.20310
 -0.23376  -0.20315
 -0.21766  -0.20320
 -0.20247  -0.20326
 -0.18825  -0.20335
 -0.17508  -0.20345
 -0.16308  -0.20360
 -0.15244  -0.20383
 -0.14355  -0.20426
 -0.13738  -0.20644
 -0.13046  -0.21089
 -0.12312  -0.21585
 -0.11568  -0.22097
 -0.10833  -0.22606
 -0.10119  -0.23102
 -0.09437  -0.23577
 -0.08795  -0.24024
 -0.08199  -0.24437
 -0.07404  -0.24986
 -0.06463  -0.25628
 -0.06314  -0.25728
 -0.06221  -0.25790
 -0.06133  -0.25848
 -0.06077  -0.25884
 -0.06022  -0.25920
 -0.05969  -0.25954
 -0.05918  -0.25987
 -0.05884  -0.26009
 -0.05851  -0.26030
 -0.05817  -0.26051
 -0.05785  -0.26071
 -0.05752  -0.26092
 -0.05719  -0.26112
 -0.05686  -0.26132
 -0.05653  -0.26152
 -0.05619  -0.26173
 -0.05585  -0.26193
 -0.05551  -0.26214
 -0.05516  -0.26234
 -0.05480  -0.26255
 -0.05444  -0.26276
 -0.05407  -0.26298
 -0.05350  -0.26330
 -0.05291  -0.26363
 -0.05230  -0.26397
 -0.05167  -0.26432
 -0.05068  -0.26485
 -0.04965  -0.26539
 -0.04801  -0.26624
 -0.04626  -0.26712
 -0.04344  -0.26848
 -0.03878  -0.27061
 -0.03363  -0.27283
 -0.02509  -0.27624
 -0.01065  -0.28140
  0.00541  -0.28647
  0.02282  -0.29136
  0.04135  -0.29600
  0.06082  -0.30038
  0.08110  -0.30448
  0.10205  -0.30830
  0.12360  -0.31184
  0.14566  -0.31512
  0.16816  -0.31815
  0.19106  -0.32093
  0.21431  -0.32347
  0.23786  -0.32580
  0.26168  -0.32791
  0.28575  -0.32982
  0.31004  -0.33154
  0.33453  -0.33308
